videoid,videourl,good_sub,sub,title,query_phrase,channel,channel_id,channel_url,punctuation_count,subtitle_duration,channel_follower_count,upload_date,duration,view_count,categories,like_count,subtitle_coverage
WGt_gFIWF-Q,https://www.youtube.com/watch?v=WGt_gFIWF-Q,True,True,آموزش معادلات دیفرانسیل 0 تا 100 قسمت 3 بخش دوم - روش تغییر متغیر انتگرال,,iman far,@imanfar,https://www.youtube.com/@imanfar,269,1253.6,3500.0,20230407.0,1427.0,457.0,['Education'],6.0,
egmfUtkIROw,https://www.youtube.com/watch?v=egmfUtkIROw,True,True,زندگی شگفت‌انگیز مورچه‌ها,,Arantik,@Arantik,https://www.youtube.com/@Arantik,109,1736.43,57900.0,20241108.0,1935.0,41793.0,['Science & Technology'],1267.0,
EN8Jp3EHBWs,https://www.youtube.com/watch?v=EN8Jp3EHBWs,True,True,قاب اس ای دی اکسترنال پرسرعت و قابل ارتقا | ADATA EC700G,,4rahecomputer,@4rahecomputer,https://www.youtube.com/@4rahecomputer,15,648.78,57300.0,20240515.0,672.0,43295.0,['Education'],771.0,
qC7Oj6OPVo4,https://www.youtube.com/watch?v=qC7Oj6OPVo4,True,True,چند شنبه با سینا | فصل ششم | قسمت 8 | با حضور مزدک میرزایی | مجری و تهیه کننده,,MBC PERSIA,@MBCPERSIA,https://www.youtube.com/@MBCPERSIA,693,2995.41,260000.0,20241114.0,3479.0,47621.0,['Entertainment'],456.0,
gg7CxplrD4s,https://www.youtube.com/watch?v=gg7CxplrD4s,True,True,داستان زندگی ترامپ و صحبت های جدیدش درباره ایران که همه را شوکه کرد!,,Mokhataban Sharif,@MokhatabanSharif,https://www.youtube.com/@MokhatabanSharif,119,658.0,79500.0,20241110.0,657.0,238985.0,['People & Blogs'],1716.0,
lSnTclEHNz4,https://www.youtube.com/watch?v=lSnTclEHNz4,True,True,کتاب صوتی هزارتوی سعودی - نویسنده: کارن الیوت هاوس _بخش دوم و پایانی (2/2),,Ketab Aval,@KetabAval-2023,https://www.youtube.com/@KetabAval-2023,10,25927.8,6410.0,20250112.0,25945.0,381.0,['Education'],9.0,
kOZxGxTFajA,https://www.youtube.com/watch?v=kOZxGxTFajA,True,True,کلمات ضروری در زبان انگلیسی در داخل جمله | پرسش و پاسخ درزبان انگلیسی | کلمات روزمره به انگلیسی|,,SkillClass,@skillclass6597,https://www.youtube.com/@skillclass6597,10,1895.28,1040.0,20240911.0,2852.0,150.0,['Education'],8.0,
94nhkwUYspE,https://www.youtube.com/watch?v=94nhkwUYspE,True,True,انیمیشن حضرت ابراهیم - قسمت 3 | Animation Hazrat Ebrahim - Part 3,,Persian Wonderland - سرزمین عجایب,@PersianWonderland,https://www.youtube.com/@PersianWonderland,195,721.47,74900.0,20220223.0,1339.0,12979.0,['Entertainment'],200.0,
aPfXrFHs5_4,https://www.youtube.com/watch?v=aPfXrFHs5_4,True,True,تیتراول: اسرائیل دستور طرح حمله به ایران‌ را صادر کرد / بمب افکن‌های بی-۵۲ به خلیج فارس بازگشتند,,Iran International,@IRANINTL,https://www.youtube.com/@IRANINTL,245,1415.63,693000.0,20210127.0,1560.0,101893.0,['News & Politics'],645.0,
t1DdlXOo2u8,https://www.youtube.com/watch?v=t1DdlXOo2u8,True,True,رازهای عجیب فرودگاه شناور بین‌المللی کانزای 😮💥,,Zoomit,@ZoomitTV,https://www.youtube.com/@ZoomitTV,18,862.33,104000.0,20210928.0,884.0,6015.0,['Science & Technology'],309.0,
mT2Hq2_VuJk,https://www.youtube.com/watch?v=mT2Hq2_VuJk,True,True,تیتراول؛‌ آغاز دادگاه تاریخی کشتار تابستان سال ۶۷ . دیپلمات جمهوری اسلامی پای میز محاکمه در سوئد,,Iran International,@IRANINTL,https://www.youtube.com/@IRANINTL,204,2370.97,696000.0,20210810.0,2520.0,96680.0,['News & Politics'],920.0,
BIJPMhC5W9o,https://www.youtube.com/watch?v=BIJPMhC5W9o,True,True,اف۱۶های ایران – اف۱۶هایی که به اسرائیل رسیدند | Iranian F-16,,DeltaPi,@DeltaP,https://www.youtube.com/@DeltaP,427,1259.06,23100.0,20231005.0,1259.0,60964.0,['Science & Technology'],910.0,
2Nyrhpak3n4,https://www.youtube.com/watch?v=2Nyrhpak3n4,True,True,‏‏‏۲۴ با فرداد فرحزاد:  موج جدیدی از تحریم‌های بی‌سابقه واشینگتن علیه روسیه,,Iran International,@IRANINTL,https://www.youtube.com/@IRANINTL,10,3207.45,693000.0,20240223.0,3359.0,28673.0,['Entertainment'],274.0,
K8dL9CVZZ7A,https://www.youtube.com/watch?v=K8dL9CVZZ7A,True,True,مسجد شیخ لطف  الله اصفهان,,خوش رنگ,@khoshrang26,https://www.youtube.com/@khoshrang26,7,1515.64,18.0,20240603.0,1535.0,41.0,['People & Blogs'],2.0,
